Sun Sep 22 20:36:24 2019    profiling

         871590 function calls (871587 primitive calls) in 14.336 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:111(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:163(_get_root)
        1    0.000    0.000    0.001    0.001 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:179(_init_setup_console_data)
        1    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:782(__enter__)
        1    0.000    0.000    0.349    0.349 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:799(__exit__)
        1    0.019    0.019    0.019    0.019 {built-in method tcod._libtcod.TCOD_console_set_custom_font}
        1    0.349    0.349    0.349    0.349 {built-in method tcod._libtcod.TCOD_console_delete}
        1    0.492    0.492    0.492    0.492 {built-in method tcod._libtcod.TCOD_console_init_root_}
        1    0.000    0.000    0.062    0.062 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:19(__init__)
        1    0.012    0.012    0.062    0.062 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:26(initialize_chunk)
        1    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:47(place_entities)
        1    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:61(place_enemies)
        1    0.000    0.000   14.336   14.336 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.003    0.003    0.003    0.003 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000   14.336   14.336 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x63951320}


[Finished in 21.2s]
